2020-02-19 11:21:36.513016 -  latency: 3.023863 ms
2020-02-19 11:21:36.517642 -  latency: 2.193928 ms
2020-02-19 11:21:36.529544 -  latency: 3.144026 ms
2020-02-19 11:21:36.533907 -  latency: 2.084970 ms
2020-02-19 11:21:36.535388 -  latency: 30.831099 ms
2020-02-19 11:21:36.545842 -  latency: 3.082037 ms
2020-02-19 11:21:36.550311 -  latency: 2.128839 ms
2020-02-19 11:21:36.562084 -  latency: 2.990961 ms
2020-02-19 11:21:36.566774 -  latency: 2.240896 ms
2020-02-19 11:21:36.568198 -  latency: 47.233105 ms
2020-02-19 11:21:36.569454 -  latency: 32.186985 ms
2020-02-19 11:21:36.571574 -  latency: 17.923117 ms
2020-02-19 11:21:36.578787 -  latency: 8.827925 ms
2020-02-19 11:21:36.580187 -  latency: 4.800797 ms
2020-02-19 11:21:36.582985 -  latency: 2.145052 ms
2020-02-19 11:21:36.588834 -  latency: 2.497196 ms
2020-02-19 11:21:36.594639 -  latency: 2.837181 ms
2020-02-19 11:21:36.599373 -  latency: 2.146959 ms
2020-02-19 11:21:36.604789 -  latency: 2.122164 ms
2020-02-19 11:21:36.611047 -  latency: 2.923012 ms
2020-02-19 11:21:36.615646 -  latency: 2.090931 ms
2020-02-19 11:21:36.621072 -  latency: 2.096176 ms
2020-02-19 11:21:36.627399 -  latency: 2.964973 ms
2020-02-19 11:21:36.632051 -  latency: 2.111912 ms
2020-02-19 11:21:36.637548 -  latency: 2.132893 ms
2020-02-19 11:21:36.643838 -  latency: 2.979994 ms
2020-02-19 11:21:36.648427 -  latency: 2.132893 ms
2020-02-19 11:21:36.654131 -  latency: 2.398968 ms
2020-02-19 11:21:36.660101 -  latency: 2.920866 ms
2020-02-19 11:21:36.664830 -  latency: 2.192974 ms
2020-02-19 11:21:36.670003 -  latency: 1.933813 ms
2020-02-19 11:21:36.676590 -  latency: 3.021955 ms
2020-02-19 11:21:36.681169 -  latency: 2.123117 ms
2020-02-19 11:21:36.686463 -  latency: 1.974106 ms
2020-02-19 11:21:36.693143 -  latency: 3.115892 ms
2020-02-19 11:21:36.697678 -  latency: 2.173901 ms
2020-02-19 11:21:36.702840 -  latency: 1.898050 ms
2020-02-19 11:21:36.709297 -  latency: 2.970934 ms
2020-02-19 11:21:36.713771 -  latency: 2.075195 ms
2020-02-19 11:21:36.719196 -  latency: 2.057076 ms
2020-02-19 11:21:36.725666 -  latency: 3.087044 ms
2020-02-19 11:21:36.730155 -  latency: 2.135038 ms
2020-02-19 11:21:36.739581 -  latency: 6.075859 ms
2020-02-19 11:21:36.742426 -  latency: 3.212929 ms
2020-02-19 11:21:36.746927 -  latency: 2.170086 ms
2020-02-19 11:21:36.753832 -  latency: 3.576040 ms
2020-02-19 11:21:36.758685 -  latency: 2.926111 ms
2020-02-19 11:21:36.764273 -  latency: 3.009081 ms
2020-02-19 11:21:36.773910 -  latency: 7.149935 ms
2020-02-19 11:21:36.776800 -  latency: 4.599094 ms
2020-02-19 11:21:36.779805 -  latency: 2.171993 ms
2020-02-19 11:21:36.787034 -  latency: 3.918171 ms
2020-02-19 11:21:36.791643 -  latency: 3.082991 ms
2020-02-19 11:21:36.796168 -  latency: 2.167940 ms
2020-02-19 11:21:36.807416 -  latency: 7.935047 ms
2020-02-19 11:21:36.808818 -  latency: 3.891945 ms
2020-02-19 11:21:36.812577 -  latency: 2.228022 ms
2020-02-19 11:21:36.820572 -  latency: 4.772902 ms
2020-02-19 11:21:36.824844 -  latency: 2.941847 ms
2020-02-19 11:21:36.829536 -  latency: 2.192974 ms
2020-02-19 11:21:36.839489 -  latency: 6.703138 ms
2020-02-19 11:21:36.842365 -  latency: 4.055023 ms
2020-02-19 11:21:36.846803 -  latency: 2.135992 ms
2020-02-19 11:21:36.854293 -  latency: 4.182100 ms
2020-02-19 11:21:36.858748 -  latency: 3.192902 ms
2020-02-19 11:21:36.863108 -  latency: 2.074957 ms
2020-02-19 11:21:36.868801 -  latency: 2.326965 ms
2020-02-19 11:21:36.875150 -  latency: 3.196955 ms
2020-02-19 11:21:36.879442 -  latency: 2.027988 ms
2020-02-19 11:21:36.889898 -  latency: 7.008791 ms
2020-02-19 11:21:36.892921 -  latency: 4.305124 ms
2020-02-19 11:21:36.897708 -  latency: 2.691984 ms
2020-02-19 11:21:36.907677 -  latency: 7.215023 ms
2020-02-19 11:21:36.910552 -  latency: 4.609108 ms
2020-02-19 11:21:36.913591 -  latency: 2.194881 ms
2020-02-19 11:21:36.919052 -  latency: 2.208948 ms
2020-02-19 11:21:36.925485 -  latency: 3.206015 ms
2020-02-19 11:21:36.929822 -  latency: 2.120018 ms
2020-02-19 11:21:36.935276 -  latency: 2.125025 ms
2020-02-19 11:21:36.941651 -  latency: 3.015041 ms
2020-02-19 11:21:36.946342 -  latency: 2.216101 ms
2020-02-19 11:21:36.958196 -  latency: 3.148079 ms
2020-02-19 11:21:36.962607 -  latency: 2.138853 ms
2020-02-19 11:21:36.974329 -  latency: 2.961874 ms
2020-02-19 11:21:36.978820 -  latency: 2.043009 ms
2020-02-19 11:21:36.991387 -  latency: 3.141880 ms
2020-02-19 11:21:36.995905 -  latency: 2.172947 ms
2020-02-19 11:21:37.007783 -  latency: 3.108978 ms
2020-02-19 11:21:37.012251 -  latency: 2.146006 ms
2020-02-19 11:21:37.024049 -  latency: 3.067017 ms
2020-02-19 11:21:37.028542 -  latency: 2.151012 ms
2020-02-19 11:21:37.040377 -  latency: 3.098011 ms
2020-02-19 11:21:37.044874 -  latency: 2.173901 ms
2020-02-19 11:21:37.056796 -  latency: 3.146172 ms
2020-02-19 11:21:37.061208 -  latency: 2.135038 ms
2020-02-19 11:21:37.073114 -  latency: 3.092051 ms
2020-02-19 11:21:37.078000 -  latency: 2.538204 ms
2020-02-19 11:21:37.089912 -  latency: 3.146887 ms
2020-02-19 11:21:37.094362 -  latency: 2.125025 ms
2020-02-19 11:21:37.106335 -  latency: 3.154993 ms
2020-02-19 11:21:37.110834 -  latency: 2.176046 ms
2020-02-19 11:21:37.122764 -  latency: 3.171921 ms
2020-02-19 11:21:37.127183 -  latency: 2.160072 ms
2020-02-19 11:21:37.139266 -  latency: 3.343105 ms
2020-02-19 11:21:37.143544 -  latency: 2.177000 ms
2020-02-19 11:21:37.155484 -  latency: 3.156900 ms
2020-02-19 11:21:37.159994 -  latency: 2.187014 ms
2020-02-19 11:21:37.171915 -  latency: 3.151178 ms
2020-02-19 11:21:37.176379 -  latency: 2.146006 ms
2020-02-19 11:21:37.188323 -  latency: 3.185034 ms
2020-02-19 11:21:37.193007 -  latency: 2.439022 ms
2020-02-19 11:21:37.204583 -  latency: 3.067017 ms
2020-02-19 11:21:37.209085 -  latency: 2.142906 ms
2020-02-19 11:21:37.222158 -  latency: 4.296064 ms
2020-02-19 11:21:37.225453 -  latency: 2.162933 ms
2020-02-19 11:21:37.237474 -  latency: 3.278017 ms
2020-02-19 11:21:37.241738 -  latency: 2.110004 ms
2020-02-19 11:21:37.254220 -  latency: 3.611088 ms
2020-02-19 11:21:37.258163 -  latency: 2.074957 ms
2020-02-19 11:21:37.270343 -  latency: 3.244162 ms
2020-02-19 11:21:37.274775 -  latency: 2.216101 ms
2020-02-19 11:21:37.286840 -  latency: 3.320932 ms
