2020-02-19 08:38:01.427035 -  latency: 1.994133 ms
2020-02-19 08:38:01.432553 -  latency: 2.050161 ms
2020-02-19 08:38:01.438837 -  latency: 2.918005 ms
2020-02-19 08:38:01.443258 -  latency: 1.974106 ms
2020-02-19 08:38:01.448722 -  latency: 2.026081 ms
2020-02-19 08:38:01.454652 -  latency: 2.488136 ms
2020-02-19 08:38:01.459675 -  latency: 2.030134 ms
2020-02-19 08:38:01.465067 -  latency: 1.956940 ms
2020-02-19 08:38:01.471095 -  latency: 2.509117 ms
2020-02-19 08:38:01.476261 -  latency: 2.199888 ms
2020-02-19 08:38:01.481647 -  latency: 2.071142 ms
2020-02-19 08:38:01.487578 -  latency: 2.532005 ms
2020-02-19 08:38:01.492546 -  latency: 2.041101 ms
2020-02-19 08:38:01.497980 -  latency: 2.007008 ms
2020-02-19 08:38:01.503941 -  latency: 2.499104 ms
2020-02-19 08:38:01.508988 -  latency: 2.081871 ms
2020-02-19 08:38:01.514389 -  latency: 2.012968 ms
2020-02-19 08:38:01.520758 -  latency: 2.946854 ms
2020-02-19 08:38:01.525365 -  latency: 2.086163 ms
2020-02-19 08:38:01.530696 -  latency: 1.989841 ms
2020-02-19 08:38:01.536777 -  latency: 2.593040 ms
2020-02-19 08:38:01.541817 -  latency: 2.158880 ms
2020-02-19 08:38:01.547170 -  latency: 2.022028 ms
2020-02-19 08:38:01.553146 -  latency: 2.518892 ms
2020-02-19 08:38:01.558121 -  latency: 2.032995 ms
2020-02-19 08:38:01.563501 -  latency: 1.994848 ms
2020-02-19 08:38:01.569372 -  latency: 2.503872 ms
2020-02-19 08:38:01.574279 -  latency: 2.007961 ms
2020-02-19 08:38:01.579687 -  latency: 1.931190 ms
2020-02-19 08:38:01.585782 -  latency: 2.554178 ms
2020-02-19 08:38:01.590795 -  latency: 2.095938 ms
2020-02-19 08:38:01.596003 -  latency: 1.883030 ms
2020-02-19 08:38:01.602561 -  latency: 3.025055 ms
2020-02-19 08:38:01.607417 -  latency: 1.970053 ms
2020-02-19 08:38:01.612838 -  latency: 1.960039 ms
2020-02-19 08:38:01.618789 -  latency: 2.502918 ms
2020-02-19 08:38:01.623730 -  latency: 2.011061 ms
2020-02-19 08:38:01.629186 -  latency: 2.048969 ms
2020-02-19 08:38:01.635095 -  latency: 2.472878 ms
2020-02-19 08:38:01.640181 -  latency: 2.087831 ms
2020-02-19 08:38:01.645523 -  latency: 2.020121 ms
2020-02-19 08:38:01.651425 -  latency: 2.502203 ms
